Id_site,Yacimiento,Localidad,Isla,Unidad geográfica,Latitud,Longitud,Tipo de yacimiento
65,El Pajar,San Bartolomé de Tirajana,Gran Canaria,Oriental,27.75469,-15.67087,Aire libre / poblado
66,El Parador 1,Las Casas,El Hierro,Occidental,27.7167,-17.96104,Descontexualizado
67,El Pescante,Santa Catalina,La Gomera,Occidental,28.1782,-17.17191,Cueva
68,El Portillo,Las Cañadas,Tenerife,Occidental,28.3011,-16.56472,Cueva
69,El Risco del Bucio,San Sebastián,La Gomera,Occidental,28.0891,-17.16048,Cueva
70,El Roque Baltazar,San Sebastián,La Gomera,Occidental,28.0609,-17.18848,Cueva
71,El Sobrado de los Gomeros,Valle Gran Rey,La Gomera,Occidental,28.0902,-17.31776,Cueva
72,El Tejar,Santa Brígida,Gran Canaria,Oriental,28.05607,-15.47521,Aire libre / poblado
73,El Tendal,San Andrés,La Palma,Occidental,28.786734,-17.76453,Cueva
74,Espigón,Santa Lucía de Tirajana,Gran Canaria,Oriental,27.8763,-15.53113,Cueva
75,Finca Clavijo,Sta. María de Guía,Gran Canaria,Oriental,28.13941,-15.64261,Aire libre
76,Fortaleza de Chipude,Vallehermoso,La Gomera,Occidental,28.09969,-17.2769,Aire libre / poblado
77,Grieta,Las Cañadas,Tenerife,Occidental,28.225,-16.58861,Cueva
78,Guanapay,Teguise,Lanzarote,Oriental,29.0056,-13.5485,Fosa / Cista
79,Guanarteme,Las Palmas,Gran Canaria,Oriental,28.1277,-15.44603,Cueva
80,Guargacho,San Miguel,Tenerife,Occidental,28.03115,-16.63158,Aire libre / poblado
81,Guayarminas,Gáldar,Gran Canaria,Oriental,28.14547,-15.65171,Aire libre / poblado
82,Hoya Brunco,La Guancha,Tenerife,Occidental,28.369,-16.65039,Cueva
82,Hoya Brunco,La Guancha,Tenerife,Occidental,28.369,-16.65039,Cueva
83,Hoya del Zarzal,Valverde,El Hierro,Occidental,27.80297,-17.93238,Aire libre / poblado
84,Hoyo de los Muertos,Guarazoca,El Hierro,Occidental,27.80995,-17.9736,Cueva
